major,count,subject_types
人工智能,583,历史 / 物理
综合类,541,历史 / 物理
热门专业,482,历史 / 物理
原投档线表未提供具体包含专业,353,物理
计算机类,299,历史
财经商贸类,272,历史
电子信息类,217,历史 / 物理
财务管理,171,历史 / 物理
会计学,163,历史 / 物理
临床医学,158,历史 / 物理
数学与应用数学,153,物理
自动化,149,历史 / 物理
医学类,134,历史
物理学,127,物理
中药学,120,历史 / 物理
表1未提供,101,历史
医学技术,95,历史 / 物理
机电类,94,历史
物联网应用技术,94,物理
电子信息工程技术,92,物理
护理,91,物理
机电一体化技术,87,物理
教育类,86,历史
工业机器人技术,82,物理
化学,80,物理
文化艺术传媒类,80,历史
大大大大数据技术,79,物理
软件技术,79,物理
汉语言文学,72,历史 / 物理
电气自动化技术,72,物理
道路与桥梁工程技术,72,物理
园林,71,历史 / 物理
交通运输类,70,历史
中医学,67,历史 / 物理
通信工程,65,历史 / 物理
商务数据分析与应用,64,物理
市场营销,64,物理
教育学,64,历史 / 物理
电子商务,64,历史 / 物理
网络营销与直播电商,64,物理
大数据与会计,61,物理
现代物流管理,61,物理
医学影像技术,55,物理
应用电子技术,53,物理
现代通信技术,53,物理
口腔医学技术,52,物理
数控技术,51,物理
机械制造及自动化,51,物理
中医康复技术,50,物理
药品经营与管理,50,物理
电气工程及其自动化,49,物理
智能产品开发与应用,48,物理
集成电路技术,48,物理
旅游服务类,46,历史
智能制造装备技术,46,物理
模具设计与制造,46,物理
数字媒体技术,45,物理
药学,45,物理
建筑工程类,44,历史
新能源汽车技术,43,物理
智能网联汽车技术,43,物理
汽车检测与维修技术,43,物理
医学检验技术,42,物理
铁道交通运营管理,42,物理
铁道机车运用与维护,42,物理
高速铁路客运服务,42,物理
云计算技术应用,41,物理
信息安全技术应用,41,物理
计算机网络技术,41,物理
跨境电子商务,41,历史 / 物理
交通运输,40,历史 / 物理
动漫制作技术,40,物理
大数据与财务管理,40,物理
法学,40,历史 / 物理
物流工程,40,历史 / 物理
移动应用开发,40,物理
翻译,40,历史 / 物理
金融服务与管理,40,物理
工业互联网应用,39,物理
康复治疗技术,39,物理
智能控制技术,39,物理
城市轨道交通运营管理,38,物理
汽车技术服务与营销,38,物理
供用电技术,36,物理
新能源装备技术,36,物理
计算机科学与技术,36,物理
食品药品与化工类,36,历史
工程造价,35,物理
电子信息工程,35,物理
工程测量技术,34,物理
市政工程技术,34,物理
建筑智能化工程技术,34,物理
建设工程管理,34,物理
风景园林设计,34,物理
人工智能技术应用,33,物理
计算机应用技术,33,物理
发电厂及电力系统,32,物理
电力系统自动化技术,32,物理
输配电工程技术,32,物理
机械电子工程,30,物理
外国语言文学,29,历史 / 物理
建筑工程技术,29,物理
建筑装饰工程技术,29,物理
其他专业类,28,历史
智能制造工程,27,物理
软件工程,27,物理
机械设计制造及其自动化,26,物理
车辆工程,26,物理
机场运行服务与管理,25,物理
民航运输服务,25,物理
空中乘务,25,物理
学前教育,24,物理
政治学,23,历史 / 物理
农林牧渔类,22,历史
化工安全技术,22,物理
小学教育,22,历史 / 物理
生物制药技术,22,物理
高分子材料智能制造技术,22,物理
应用化工技术,21,物理
药品生产技术,21,物理
食品检验检测技术,21,物理
英语,20,历史 / 物理
国际经济与贸易,19,物理
应用化学,19,物理
物联网工程,19,物理
材料成型及控制工程,18,物理
体育教育,17,历史 / 物理
广告艺术设计,17,物理
数字媒体艺术设计,17,物理
视觉传达设计,17,物理
人力资源管理,16,物理
信息与计算科学,16,物理
新能源汽车工程,16,物理
早期教育,16,物理
环境工程技术,16,物理
生物技术,16,物理
绿色低碳技术,16,物理
食品质量与安全,16,物理
小学英语教育,15,物理
应用技术,15,历史 / 物理
职业本科,15,历史 / 物理
音乐教育,15,物理
公共事务管理,13,物理
安全技术与管理,13,物理
数字经济,13,物理
机器人工程,13,物理
法律事务,13,物理
产品艺术设计,12,物理
动漫设计,12,物理
护理学,12,历史 / 物理
环境艺术设计,12,物理
电气工程,12,历史 / 物理
经济学,12,历史 / 物理
金融学,12,物理
工程管理,11,物理
网络与新媒体,11,历史 / 物理
数字媒体,10,物理
社区管理与服务,10,物理
酒店管理与数字化运营,10,物理
光电信息科学与工程,9,物理
制药工程,9,物理
商务英语,9,历史 / 物理
应用物理学,9,物理
新能源科学与工程,9,物理
新闻传播,9,物理
旅游管理,9,物理
日语,9,物理
生物科学,9,物理
电气类,9,历史
广播电视编导,8,历史 / 物理
建筑学,8,物理
微电子科学与工程,8,物理
智能电网信息工程,8,物理
法律公共管理类,8,历史
土木工程,7,物理
审计学,7,物理
工商管理,7,物理
机械工程,7,物理
风景园林,7,物理
食品科学与工程,7,物理
高分子材料与工程,7,物理
智慧健康养老服务与管理,6,物理
智能建造,6,物理
智能科学与技术,6,物理
材料科学与工程,6,物理
测控技术与仪器,6,物理
环境工程,6,物理
现代文秘,6,物理
能源与动力工程,6,物理
化学工程与工艺,5,物理
城乡规划,5,物理
广播电视学,5,物理
康复治疗学,5,物理
投资学,5,历史 / 物理
新闻学,5,历史 / 物理
汉语国际教育,5,物理
互联网金融,4,历史 / 物理
传播学,4,物理
信息安全,4,物理
地理信息科学,4,物理
大数据管理与应用,4,物理
应用统计学,4,物理
生物工程,4,物理
财政学,4,物理
交通工程,3,物理
保险学,3,物理
区块链工程,3,物理
园艺,3,物理
地理科学,3,物理
工业设计,3,物理
应用心理学,3,物理
建筑环境与能源应用工程,3,物理
物流管理,3,物理
电子科学与技术,3,物理
知识产权,3,物理
社会工作,3,物理
税收学,3,物理
经济统计学,3,物理
集成电路设计与集成系统,3,物理
预防医学,3,物理
俄语,2,物理
健康服务与管理,2,物理
公共事业管理,2,物理
教育技术学,2,物理
林学,2,物理
测绘工程,2,物理
科学教育,2,物理
给排水科学与工程,2,物理
网络工程,2,物理
运动训练,2,历史
道路桥梁与渡河工程,2,物理
金融工程,2,物理
养老服务管理,1,历史
农学,1,物理
动物医学,1,物理
医学影像学,1,物理
历史学（师范）,1,历史
学前教育（师范）,1,历史
