source_subject	source_row_no	source_file	school_code	school_name	subject_type	batch_name	major_group	elective_subject	group_min_score	min_rank	majors	major_count	pdf_page	book_page	review_note	raw_group_line	school_province	school_level	major_group_full	major_category	predict_score	predict_low	predict_high	predict_range	confidence
物理	1	25年物理类院校专业组汇总.xlsx	0001	北京体育大学	物理	本科批	105	不限	609	36486	英语、运动康复、智能体育工程	3	32			105（不限）/专业组投档最低分609/专业组投档最低分位次36486	北京	本科	105（不限）	英语	609	604	614	604-614	按2025投档线
物理	2	25年物理类院校专业组汇总.xlsx	0001	北京体育大学	物理	本科批	106	不限	608	37473	体育经济与管理	1	32			106（不限）/专业组投档最低分608/专业组投档最低分位次37473	北京	本科	106（不限）	体育经济与管理	608	603	613	603-613	按2025投档线
物理	3	25年物理类院校专业组汇总.xlsx	0001	北京体育大学	物理	本科批	107	化学	625	22450	数据科学与大数据技术	1	32			107（化学）/专业组投档最低分625/专业组投档最低分位次22450	北京	本科	107（化学）	数据科学与大数据技术	625	620	630	620-630	按2025投档线
物理	4	25年物理类院校专业组汇总.xlsx	0001	北京体育大学	物理	本科批	108	不限	611	34569	运动人体科学、应用心理学	2	32			108（不限）/专业组投档最低分611/专业组投档最低分位次34569	北京	本科	108（不限）	运动人体科学	611	606	616	606-616	按2025投档线
物理	5	25年物理类院校专业组汇总.xlsx	0001	北京体育大学	物理	本科批	109	化学	609	36486	康复物理治疗	1	32			109（化学）/专业组投档最低分609/专业组投档最低分位次36486	北京	本科	109（化学）	康复物理治疗	609	604	614	604-614	按2025投档线
物理	6	25年物理类院校专业组汇总.xlsx	0001	北京体育大学	物理	本科批	210	不限	545	126477	休闲体育(中外合作办学)、旅游管理(中外合作办学)	2	32			210（不限）/专业组投档最低分545/专业组投档最低分位次126477	北京	本科	210（不限）	休闲体育(中外合作办学)	545	540	550	540-550	按2025投档线
物理	7	25年物理类院校专业组汇总.xlsx	0005	首都体育学院	物理	本科批	101	不限	535	143976	新闻学（体育新闻方向)、公共事业管理（体育管理方向）	2	32			101（不限）/专业组投档最低分535/专业组投档最低分位次143976	未识别	本科	101（不限）	新闻学（体育新闻方向)	535	530	540	530-540	按2025投档线
物理	8	25年物理类院校专业组汇总.xlsx	0005	首都体育学院	物理	本科批	102	不限	548	121209	运动人体科学、运动康复	2	32			102（不限）/专业组投档最低分548/专业组投档最低分位次121209	未识别	本科	102（不限）	运动人体科学	548	543	553	543-553	按2025投档线
物理	9	25年物理类院校专业组汇总.xlsx	0006	天津体育学院	物理	本科批	102	不限	525	162191	运动人体科学、运动康复、新闻学、应用心理学、大数据管理与应用	5	32			102（不限）/专业组投档最低分525/专业组投档最低分位次162191	天津	本科	102（不限）	运动人体科学	525	520	530	520-530	按2025投档线
物理	10	25年物理类院校专业组汇总.xlsx	0006	天津体育学院	物理	本科批	103	化学	538	138722	康复治疗学	1	32			103（化学）/专业组投档最低分538/专业组投档最低分位次138722	天津	本科	103（化学）	康复治疗学	538	533	543	533-543	按2025投档线
物理	11	25年物理类院校专业组汇总.xlsx	0009	沈阳体育学院	物理	本科批	101	不限	493	223265	运动康复、新闻学、体育经济与管理	3	32			101（不限）/专业组投档最低分493/专业组投档最低分位次223265	辽宁	本科	101（不限）	运动康复	493	488	498	488-498	按2025投档线
物理	12	25年物理类院校专业组汇总.xlsx	0010	吉林体育学院	物理	本科批	101	不限	499	211621	智慧健康养老管理	1	32			101（不限）/专业组投档最低分499/专业组投档最低分位次211621	吉林	本科	101（不限）	智慧健康养老管理	499	494	504	494-504	按2025投档线
物理	13	25年物理类院校专业组汇总.xlsx	0010	吉林体育学院	物理	本科批	102	不限	521	169654	康复治疗	1	32			102（不限）/专业组投档最低分521/专业组投档最低分位次169654	吉林	本科	102（不限）	康复治疗	521	516	526	516-526	按2025投档线
物理	14	25年物理类院校专业组汇总.xlsx	0012	P哈尔滨体育学院	物理	本科批	101	不限	494	221305	运动康复	1	32			101（不限）/专业组投档最低分494/专业组投档最低分位次221305	黑龙江	本科	101（不限）	运动康复	494	489	499	489-499	按2025投档线
物理	15	25年物理类院校专业组汇总.xlsx	0012	P哈尔滨体育学院	物理	本科批	102	不限	483	242790	运动人体科学	1	32			102（不限）/专业组投档最低分483/专业组投档最低分位次242790	黑龙江	本科	102（不限）	运动人体科学	483	478	488	478-488	按2025投档线
物理	16	25年物理类院校专业组汇总.xlsx	0012	P哈尔滨体育学院	物理	本科批	103	不限	483	242790	体育经济与管理	1	32			103（不限）/专业组投档最低分483/专业组投档最低分位次242790	黑龙江	本科	103（不限）	体育经济与管理	483	478	488	478-488	按2025投档线
物理	17	25年物理类院校专业组汇总.xlsx	0015	上海体育大学	物理	本科批	103	不限	592	55298	工商管理类	1	32			103（不限）/专业组投档最低分592/专业组投档最低分位次55298	上海	本科	103（不限）	工商管理类	592	587	597	587-597	按2025投档线
物理	18	25年物理类院校专业组汇总.xlsx	0015	上海体育大学	物理	本科批	104	化学	605	40609	数据科学与大数据技术	1	32			104（化学）/专业组投档最低分605/专业组投档最低分位次40609	上海	本科	104（化学）	数据科学与大数据技术	605	600	610	600-610	按2025投档线
物理	19	25年物理类院校专业组汇总.xlsx	0015	上海体育大学	物理	本科批	105	化学	581	69871	医学技术类	1	32			105（化学）/专业组投档最低分581/专业组投档最低分位次69871	上海	本科	105（化学）	医学技术类	581	576	586	576-586	按2025投档线
物理	20	25年物理类院校专业组汇总.xlsx	0015	上海体育大学	物理	本科批	106	化学	585	64425	应用心理学	1	32			106（化学）/专业组投档最低分585/专业组投档最低分位次64425	上海	本科	106（化学）	应用心理学	585	580	590	580-590	按2025投档线
物理	21	25年物理类院校专业组汇总.xlsx	0015	上海体育大学	物理	本科批	107	化学	577	75584	运动能力开发	1	32			107（化学）/专业组投档最低分577/专业组投档最低分位次75584	上海	本科	107（化学）	运动能力开发	577	572	582	572-582	按2025投档线
物理	22	25年物理类院校专业组汇总.xlsx	0019	武汉体育学院	物理	本科批	101	不限	529	154977	运动康复、应用心理学、体育经济与管理	3	32			101（不限）/专业组投档最低分529/专业组投档最低分位次154977	湖北	本科	101（不限）	运动康复	529	524	534	524-534	按2025投档线
物理	23	25年物理类院校专业组汇总.xlsx	0019	武汉体育学院	物理	本科批	102	不限	524	164057	教育技术学、智能体育工程、信息管理与信息系统	3	32			102（不限）/专业组投档最低分524/专业组投档最低分位次164057	湖北	本科	102（不限）	教育技术学	524	519	529	519-529	按2025投档线
物理	24	25年物理类院校专业组汇总.xlsx	0019	武汉体育学院	物理	本科批	103	化学	541	133317	数据科学与大数据技术、中医骨伤科学（学制5年）、康复治疗学	3	32			103（化学）/专业组投档最低分541/专业组投档最低分位次133317	湖北	本科	103（化学）	数据科学与大数据技术	541	536	546	536-546	按2025投档线
物理	25	25年物理类院校专业组汇总.xlsx	0021	广州体育学院	物理	本科批	103	不限	541	133317	经济学	1	32			103（不限）/专业组投档最低分541/专业组投档最低分位次133317	广东	本科	103（不限）	经济学	541	536	546	536-546	按2025投档线
物理	26	25年物理类院校专业组汇总.xlsx	0023	成都体育学院	物理	本科批	102	不限	560	101279	中医学（学制5年）、中医骨伤科学（学制5年）	2	32			102（不限）/专业组投档最低分560/专业组投档最低分位次101279	四川	本科	102（不限）	中医学（学制5年）	560	555	565	555-565	按2025投档线
物理	27	25年物理类院校专业组汇总.xlsx	0023	成都体育学院	物理	本科批	103	化学	546	124772	康复治疗学	1	32			103（化学）/专业组投档最低分546/专业组投档最低分位次124772	四川	本科	103（化学）	康复治疗学	546	541	551	541-551	按2025投档线
物理	28	25年物理类院校专业组汇总.xlsx	0023	成都体育学院	物理	本科批	104	不限	536	142192	运动人体科学	1	32			104（不限）/专业组投档最低分536/专业组投档最低分位次142192	四川	本科	104（不限）	运动人体科学	536	531	541	531-541	按2025投档线
物理	29	25年物理类院校专业组汇总.xlsx	0023	成都体育学院	物理	本科批	105	不限	536	142192	经济学	1	32			105（不限）/专业组投档最低分536/专业组投档最低分位次142192	四川	本科	105（不限）	经济学	536	531	541	531-541	按2025投档线
物理	30	25年物理类院校专业组汇总.xlsx	0025	西安体育学院	物理	本科批	101	化学	531	151364	康复治疗学	1	32			101（化学）/专业组投档最低分531/专业组投档最低分位次151364	陕西	本科	101（化学）	康复治疗学	531	526	536	526-536	按2025投档线
物理	31	25年物理类院校专业组汇总.xlsx	0110	中国人民公安大学	物理	本科批	101	不限	627	20939	法学、人数平均袋	2	32			101（不限）/专业组投档最低分627/专业组投档最低分位次20939	未识别	本科	101（不限）	法学	627	622	632	622-632	按2025投档线
物理	32	25年物理类院校专业组汇总.xlsx	0120	中国人民警察大学	物理	本科批	101	思想政治	567	90232	消防指挥	1	33	13		101（思想政治）/专业组投档最低分567/专业组投档最低分位次90232	未识别	本科	101（思想政治）	消防指挥	567	562	572	562-572	按2025投档线
